Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,ReturnToLongTerm,FileRestored
4596744,7f055379-41a4-43d5-b087-0345235b8d3c,45788569915.wav,8cb664d7-a95b-49f4-b724-9262864f5dcf,Wed Apr 10 2019 02:07:14 GMT+0530 (India Standard Time),Sun Jun 09 2019 02:08:32 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7cf51827-ab5a-46eb-9ff2-bdb5fbd5e2f7,95502519982.wav,a5a67816-a88f-4509-b0e1-a5f1c9862161,Thu Jul 11 2019 19:00:27 GMT+0530 (India Standard Time),Mon Sep 09 2019 19:01:53 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,5666af2f-3a86-4af4-94af-c0f78ebc181d,95276376627.wav,ed523b90-8dd9-46d8-9693-b31015b99ed6,Sat Jun 29 2019 02:34:32 GMT+0530 (India Standard Time),Wed Aug 28 2019 02:35:53 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,aa87ea00-9a18-4d84-9172-e31da6d1b13b,95480915139.wav,c3305876-c564-4b3f-aae9-af7b22a088ad,Wed Jul 10 2019 21:20:17 GMT+0530 (India Standard Time),Sun Sep 08 2019 21:21:55 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7745800d-79fa-48c0-a31e-bdc4a5fac843,95591598160.wav,c0e6f42e-e78d-4d7a-885b-ac6b493e1ea1,Tue Jul 16 2019 21:54:06 GMT+0530 (India Standard Time),Sat Sep 14 2019 21:55:59 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,39a8dfd1-efbf-45b9-a324-280f6c29d6e4,45368662591.wav,7658cfb8-fa79-4db1-9f17-15fa0575e4cf,Sun Mar 17 2019 22:02:05 GMT+0530 (India Standard Time),Thu May 16 2019 22:02:30 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 23 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,5c11c3ec-4ab4-4f19-864e-c8cec2c25de4,95317619936.wav,f870c7f5-3c42-4dfc-aabf-b55c219db316,Tue Jul 02 2019 02:02:00 GMT+0530 (India Standard Time),Sat Aug 31 2019 02:03:54 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,74a639e3-8d33-4f3b-bf45-dc5db4f58f73,95215218336.wav,2dd513c9-eb55-47d4-a147-08111556f2b7,Wed Jun 26 2019 02:27:27 GMT+0530 (India Standard Time),Sun Aug 25 2019 02:27:51 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,e1aed843-55e8-484c-b57f-aeb7360f9bb1,45368650686.wav,1009d00a-4e28-402c-9b73-7774a8241079,Sun Mar 17 2019 21:32:49 GMT+0530 (India Standard Time),Thu May 16 2019 21:34:31 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 23 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7f62c58e-0291-4097-9fec-28cde43f8c39,44728912050.wav,bbbf99b7-9d15-4075-b567-cca750b4ec6d,Mon Feb 11 2019 22:45:39 GMT+0530 (India Standard Time),Fri Apr 12 2019 22:46:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,7dc47cb7-bf84-4905-8c7c-58dd57d64caf,95503139411.wav,e31bbef5-f658-402e-9dec-217e554f1f9c,Thu Jul 11 2019 22:18:12 GMT+0530 (India Standard Time),Mon Sep 09 2019 22:19:56 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,5242802d-0045-4834-bf59-c9fa3c3b6158,94989652519.wav,e1b0d3ae-7136-44bb-bd31-4206f667153b,Fri Jun 14 2019 02:18:51 GMT+0530 (India Standard Time),Tue Aug 13 2019 02:19:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 19 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,3c4354bf-85fb-48a0-9464-915df04f9164,95591877092.wav,9a4738a7-f3e7-424b-8608-f69d63f9838d,Tue Jul 16 2019 23:07:44 GMT+0530 (India Standard Time),Sat Sep 14 2019 23:09:55 GMT+0530 (India Standard Time),Invalid Date,6,Mon Sep 30 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,0ec2e459-bbe7-4d67-b039-1a2c7f470f82,44750755568.wav,a4730ab3-356a-403a-b60a-445d36f5d825,Tue Feb 12 2019 03:13:15 GMT+0530 (India Standard Time),Sat Apr 13 2019 03:14:50 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,fc1ebc86-a171-47e9-9160-0e132da9f760,45547003146.wav,80292058-5dac-4c66-9584-40df373a41d9,Wed Mar 27 2019 02:34:42 GMT+0530 (India Standard Time),Sun May 26 2019 02:36:33 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,4c3a46fb-f8d8-4cc4-9263-ecbc9cbc3b06,44729361727.wav,23938840-fafb-47a5-8262-35bac208ca85,Tue Feb 12 2019 01:00:48 GMT+0530 (India Standard Time),Sat Apr 13 2019 01:03:48 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,a93f364e-85bb-45d0-985f-b9338efd3fce,95412960455.wav,41de63c5-295d-44e4-a2f3-6661bf242301,Mon Jul 08 2019 17:22:37 GMT+0530 (India Standard Time),Fri Sep 06 2019 17:23:48 GMT+0530 (India Standard Time),Invalid Date,6,Wed Oct 02 2019 05:30:00 GMT+0530 (India Standard Time),
4596744,72e16524-8d29-42bf-8cbb-06520ebc1e06,44728500632.wav,51ae1098-7e76-4836-98b2-4fc37d8b4b4b,Mon Feb 11 2019 20:32:45 GMT+0530 (India Standard Time),Fri Apr 12 2019 20:34:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
