Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,ReturnToLongTerm,FileRestored
4597300,9eb1a45b-a8b0-4bb6-bb5a-950f6b672828,4946822333.wav,e9b58442-9037-4364-8999-63b6b2731515,Fri Nov 23 2018 19:43:11 GMT+0530 (India Standard Time),Fri Feb 08 2019 11:28:20 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,ec00a727-23e6-45a9-94d7-91d6b4f7330b,96436370603.wav,3a3cb5d7-60cf-4688-bb7a-910152b6dac8,Tue Aug 27 2019 21:32:24 GMT+0530 (India Standard Time),Tue Sep 10 2019 21:33:58 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,815c7131-fbaa-449a-aff1-fbf351a67aba,95315785410.wav,afb03fe9-d314-4447-89b7-580d9a2dedb0,Mon Jul 01 2019 22:09:10 GMT+0530 (India Standard Time),Thu Jul 18 2019 16:33:47 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,b982ef00-d659-4e98-b071-311f2d26c6b7,5059096659.wav,fd44e24d-f4fe-4cdd-a6c4-a3a41a81746c,Thu Apr 04 2019 22:48:18 GMT+0530 (India Standard Time),Sat May 04 2019 22:48:30 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,665403f1-c072-45f2-8402-5f3647d27859,5124310629.wav,f7b29b7f-0798-428b-a755-70be9535a771,Fri Jun 14 2019 22:03:57 GMT+0530 (India Standard Time),Thu Jul 18 2019 21:53:46 GMT+0530 (India Standard Time),Invalid Date,6,Thu Oct 03 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,d2c986e5-de22-4a57-8e15-0c6aeb43fc38,96500536085.wav,08ec19da-aabb-4366-9e10-4135dd6e5ffe,Thu Aug 29 2019 09:24:39 GMT+0530 (India Standard Time),Thu Sep 12 2019 09:25:52 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,6bc42d5c-6013-4e96-a205-c792af46dd91,95999508618.wav,d7ce5ad8-da8b-4b80-88a7-1c0ccf8a50d4,Tue Aug 06 2019 01:58:24 GMT+0530 (India Standard Time),Tue Aug 20 2019 01:59:50 GMT+0530 (India Standard Time),Invalid Date,6,Fri Sep 20 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,83312469-493a-44a8-918e-ab3157a60e76,5064654806.wav,f579e8d6-5c1e-4ad7-ab8e-3e9f1494372a,Thu Apr 11 2019 18:54:46 GMT+0530 (India Standard Time),Sat May 11 2019 18:56:30 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,f1011b53-c6f4-4030-b41d-b6a3267fdfc9,5101164170.wav,ca3db870-36e1-4e18-93ab-5c21a73682a6,Tue May 21 2019 23:20:03 GMT+0530 (India Standard Time),Thu Jun 20 2019 23:20:32 GMT+0530 (India Standard Time),Invalid Date,6,Sun Sep 29 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,b09dd285-9550-42d3-9f75-47cecda64b1a,96299229210.wav,1bd5f476-2ed4-40c3-a97f-992b67c3a67c,Wed Aug 21 2019 07:47:31 GMT+0530 (India Standard Time),Wed Sep 04 2019 07:49:49 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,7ef0259f-f1c2-42b9-a5c2-9e1f7f8dfe81,96557379349.wav,4f155c97-7db7-465f-8f62-8048779a1e1f,Tue Sep 03 2019 21:25:28 GMT+0530 (India Standard Time),Tue Sep 17 2019 21:27:53 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,08e07068-bd6b-4ef9-a08d-e584b20bee20,96263708547.wav,3fbaf99a-b967-431e-b039-63a2b60c8650,Mon Aug 19 2019 05:54:00 GMT+0530 (India Standard Time),Mon Sep 02 2019 05:55:51 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,561eabb4-d598-460d-86f1-23250c0ec519,96263507313.wav,b088ca82-96ef-4eac-bc10-57f0a3c494bd,Sun Aug 18 2019 20:55:00 GMT+0530 (India Standard Time),Sun Sep 01 2019 20:55:51 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,45e36225-2fcb-478f-8e8b-7b295d7d8274,95927288570.wav,a07d3031-7a07-476e-914a-5c5deecfa9f1,Fri Aug 02 2019 06:43:19 GMT+0530 (India Standard Time),Fri Aug 16 2019 06:43:47 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,53cd1b1d-a76f-49c4-86ea-8458d405d198,96617625300.wav,2ff6e404-da60-4436-8144-c2bec529172c,Thu Sep 05 2019 19:18:47 GMT+0530 (India Standard Time),Thu Sep 19 2019 19:19:53 GMT+0530 (India Standard Time),Invalid Date,6,Fri Oct 04 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,877f15a4-b375-454a-843d-2cfc841e417f,95207871704.wav,4748c527-a5e1-4119-b616-be2357e9ee66,Tue Jun 25 2019 22:35:46 GMT+0530 (India Standard Time),Sat Jul 20 2019 14:37:41 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,4450d2df-360f-47d6-b98b-530373e446e6,96501373116.wav,88251693-d5ee-4337-b6c0-fb9d6d40c70a,Fri Aug 30 2019 01:30:24 GMT+0530 (India Standard Time),Fri Sep 13 2019 01:31:57 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,6f0c794b-b694-4dbe-b946-6e3a42514ce3,96298727460.wav,fc717fee-4c1a-4d73-aa87-4f74b430d5f1,Wed Aug 21 2019 00:26:05 GMT+0530 (India Standard Time),Wed Sep 04 2019 00:27:52 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,cfcc8067-3645-4ac2-8210-575265b1ee8b,5138119359.wav,e5bc8606-adb1-4128-a1a3-b9260b1b77d1,Fri Aug 02 2019 20:39:35 GMT+0530 (India Standard Time),Fri Aug 16 2019 21:09:50 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 21 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,ffb652c6-bbec-40e1-a468-09714aac776c,96318900185.wav,a8b0a69f-1258-4258-8ecc-d234fedf4e45,Wed Aug 21 2019 23:54:14 GMT+0530 (India Standard Time),Wed Sep 04 2019 23:55:55 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,6188f124-5a9c-4158-8fad-156c40f71ce9,96536262473.wav,c36725ec-bf7a-4dd7-9bd9-510370a3eb27,Mon Sep 02 2019 01:39:05 GMT+0530 (India Standard Time),Mon Sep 16 2019 01:39:53 GMT+0530 (India Standard Time),Invalid Date,6,Thu Sep 26 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,e1ec9650-227b-44c7-ad5b-2dbbee9efdc2,96383073909.wav,a5dd97ba-7671-40da-af95-f1066c2737db,Sat Aug 24 2019 22:11:29 GMT+0530 (India Standard Time),Sat Sep 07 2019 22:13:53 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,04ee3cd2-3651-47a0-9315-f2214ef78719,95539748493.wav,5135e234-8749-4a12-89a8-e3d811d4ed96,Sat Jul 13 2019 00:28:07 GMT+0530 (India Standard Time),Sat Jul 27 2019 00:29:48 GMT+0530 (India Standard Time),Invalid Date,6,Thu Oct 03 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,43d622e9-f4cd-4712-b9c3-e4dafd4f95a5,96283962844.wav,ddbb6876-a213-4c4b-81b8-252a4d9ba908,Tue Aug 20 2019 07:15:03 GMT+0530 (India Standard Time),Tue Sep 03 2019 07:15:52 GMT+0530 (India Standard Time),Invalid Date,6,Sat Sep 28 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,be2218a2-11fb-4f52-b143-23503b628f97,96264462735.wav,71152a0a-6774-4b5b-b587-2f06aae2ce83,Tue Aug 20 2019 00:27:19 GMT+0530 (India Standard Time),Tue Sep 03 2019 00:27:52 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,03c84fde-8002-401f-a399-a79f3415e61c,5009709408.wav,e99bf531-a19e-4f39-a92d-3981832e7034,Sat Feb 02 2019 04:04:19 GMT+0530 (India Standard Time),Mon Mar 04 2019 04:06:37 GMT+0530 (India Standard Time),Invalid Date,6,Wed Sep 25 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,2a17d8c9-468d-4c5c-81d3-b1e80cad8499,4939532265.wav,94847f6d-444c-45c8-8c04-bd387374468e,Thu Nov 15 2018 03:27:32 GMT+0530 (India Standard Time),Thu Jun 06 2019 02:22:35 GMT+0530 (India Standard Time),Invalid Date,6,Fri Oct 11 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,d0545c12-fa73-41ff-b34f-381686c5b3ff,4924322458.wav,c575a1a4-435e-446b-9b96-7f78e80e18b8,Mon Oct 29 2018 23:47:12 GMT+0530 (India Standard Time),Sun Jan 27 2019 23:47:57 GMT+0530 (India Standard Time),Invalid Date,6,Mon Oct 07 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,49fdd600-ce0b-40dc-80b3-c074713c7ed9,95900079449.wav,9d5f6a97-e150-4319-83b0-8dbd8fcf25f5,Wed Jul 31 2019 21:25:30 GMT+0530 (India Standard Time),Wed Aug 14 2019 21:27:50 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,b612ecf4-1e93-4ffc-92f5-652117ca7140,95915167594.wav,e1eb1240-d242-4906-9233-d83bfeddc5a3,Thu Aug 01 2019 18:57:07 GMT+0530 (India Standard Time),Thu Aug 15 2019 18:57:47 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,dff93106-be09-4243-a738-6dc3c819ade9,96595057789.wav,a0e65654-8d56-4e14-a390-e33b9c5f3644,Thu Sep 05 2019 01:31:04 GMT+0530 (India Standard Time),Thu Sep 19 2019 01:31:56 GMT+0530 (India Standard Time),Invalid Date,6,Thu Oct 03 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,7f393454-c5cc-4811-b894-ab8a0442c8ef,96470475395.wav,c96ad8c4-a757-4e60-806b-20304b1ed570,Thu Aug 29 2019 06:05:21 GMT+0530 (India Standard Time),Thu Sep 12 2019 06:05:54 GMT+0530 (India Standard Time),Invalid Date,6,Tue Oct 01 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,4cb223e1-f1f9-4d86-9802-55abf9eacc8b,5026212057.wav,68a7ae73-666f-4ee9-9e01-0038c4f7052a,Thu Feb 21 2019 21:33:50 GMT+0530 (India Standard Time),Sat Mar 23 2019 21:34:42 GMT+0530 (India Standard Time),Invalid Date,6,Sat Oct 05 2019 05:30:00 GMT+0530 (India Standard Time),
4597300,f6016776-6957-47a8-973d-84cec542f080,96680078828.wav,d786f6bf-8f93-4729-8cb9-106998fd4343,Mon Sep 09 2019 18:49:21 GMT+0530 (India Standard Time),Mon Sep 23 2019 18:51:04 GMT+0530 (India Standard Time),Invalid Date,6,Fri Oct 04 2019 05:30:00 GMT+0530 (India Standard Time),
