Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored,ReturnToLongTermDate
4597300,5d7de1c6-6c78-4a63-b1c4-2e6a3cd5e49e,5120683301.wav,9978175e-1aea-423d-897d-8f5e0a469d2f,1560272679280,1562864800098,,6,,1570320000000
4597300,cc660761-f35b-4e2a-8ee2-bd5c2f8c188f,96804769389.wav,08cf06d4-16bc-4da9-8ead-8243734a1dd3,1568496699669,1569706436574,,6,,1570838400000
4597300,467e8e37-747f-4792-9b5d-29c567185efb,96679790716.wav,af2b7e34-7b0f-4572-82c2-b789d32a006e,1567972100413,1569181799185,,6,,1570838400000
4597300,a99db830-a94b-41f7-89b4-65cf96f5cfbe,96284289369.wav,67956e01-0898-4acd-8410-1c30675e95c1,1566313717739,1567523393032,,6,,1569456000000
4597300,75aa42d9-0513-4dd9-bf28-557e25934d68,96299093426.wav,bd5db723-1b9d-4a8d-a580-fff921a46259,1566340737143,1567550393795,,6,,1569628800000
4597300,4b8f0eec-273a-4d68-bcd4-c18d3880199f,96435745380.wav,82a55596-90a1-4e10-bbc8-31ed797dd219,1566856319253,1568066034908,,6,,1569628800000
4597300,88a36dab-2bf4-466d-8377-b4fbefc93072,96247864042.wav,cf82565f-7d1a-43ba-acd6-02da95482872,1566011738651,1567221469620,,6,,1570233600000
4597300,3c2c590f-4115-42d1-804d-2ea124e98fad,96469747573.wav,33aeffbc-ffcb-4bc6-8000-5080843fc821,1567011594982,1568221315719,,6,,1570406400000
4597300,4cc431b3-636f-428b-94ad-cdd7689061e0,95914943809.wav,801ebc55-25d5-4a93-b0ea-df9dfd3307eb,1564622062607,1565831746283,,6,,1570233600000
4597300,a564274a-845b-45a2-8da7-479c9002a52a,4933791872.wav,73ac246c-2c7f-4107-916a-d9504e552b31,1541701502122,1549575009272,,6,,1570492800000
4597300,a759553e-f1dc-4a53-81a9-1631a19efb32,96141835778.wav,80a01270-655d-4a84-8a08-96740b7fb07f,1565646987026,1566856675882,,6,,1570060800000
4597300,f0f26e77-52c1-4d1f-a433-58c82f486930,5023314507.wav,f825728b-0229-4673-a152-af2e3e8c5b51,1550514556829,1553106643069,,6,,1570233600000
4597300,c96a1ad9-1fa8-4b9c-884f-b3e42440cfad,96000263313.wav,74659d06-f847-45f1-a241-6fd3e7422c8d,1565105506110,1566315232447,,6,,1568937600000
4597300,821530f8-4de2-4807-89f0-587e6eb67287,96025510765.wav,186438e8-2fb2-4934-8e5e-5dc77a34b176,1565112924296,1566322549895,,6,,1570147200000
4597300,17ce8b16-33ac-423c-ba7e-2f8f50890082,95045376621.wav,74e77328-d2e8-4cd1-a81b-e3be27400b61,1560865730005,1563275743942,,6,,1569715200000
