Bus_No,CloudLocation,FileNameNoPath,PrivateId,CreationDate,ArchivedDate,DeletedAt,State,FileRestored
199,eef508d4-4d6f-431d-bd42-050c847afc1f,SMSTestCase-2018-02-12_17-15-19CallLog-21850000-21851153.wav,808525bb-7c9a-4d93-834b-f8be127c72d6,Mon Feb 12 2018 17:15:24 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:36:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,690b329a-4635-491b-8195-819bb088d42c,1129331.wav,f42e336f-3e4e-4432-a486-4f51d12954ad,Fri Feb 16 2018 15:02:00 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:22:15 GMT+0530 (India Standard Time),Invalid Date,4,
199,25abd85b-9893-45d4-9aff-c856ba9829a6,1129326.wav,531955e3-6d2c-4f06-91ce-f868049ed692,Fri Feb 16 2018 12:50:33 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,0d56aba4-a4e5-4245-bba8-4828408d2286,1129241.wav,208af405-2dbe-434c-8b70-7bc2e5ff96f7,Tue Feb 13 2018 14:59:20 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,1de2e4de-c577-4724-9196-4864f77d54f5,1127621.wav,4187c461-ff40-4896-809b-743c5c850075,Wed Feb 14 2018 20:47:33 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:25:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,87950050-22ad-40c8-8b22-5930e68d04aa,1129281.wav,2cc35663-befc-4516-a7b6-2cbb26cfbb43,Wed Feb 14 2018 11:38:09 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:25:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,3decb272-5686-4a13-99f7-be404e65d336,1128983.wav,ec9df24d-e424-4170-b6d6-7e2ec6077fc8,Mon Feb 12 2018 10:54:55 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:36:17 GMT+0530 (India Standard Time),Invalid Date,4,
199,449408fc-caa9-4678-859d-61546829797d,SMSTestCase-2018-02-16_13-42-02CallLog-21850000-21857264.wma,02b66a4f-723a-4fe6-91d7-eebe6bf8e700,Fri Feb 16 2018 14:01:08 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:38:16 GMT+0530 (India Standard Time),Invalid Date,4,
199,0950e406-581c-4d13-8681-e7836be3cbc3,SMSTestCase-2018-02-16_13-08-0963c6b6ad-6daf-4c56-83cf-c390cad3ec9e.wav,08f57284-28b4-4c29-99db-8c5adffbd345,Fri Feb 16 2018 13:08:13 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:17 GMT+0530 (India Standard Time),Invalid Date,4,
199,d458e848-10db-49fa-9aca-bb83126157f9,SMSTestCase-2018-02-16_13-41-34CallLog-21850000-21851153.wav,9ebfe089-478e-46f9-8031-729e0bcb26a0,Fri Feb 16 2018 14:00:59 GMT+0530 (India Standard Time),Sun Feb 25 2018 02:34:16 GMT+0530 (India Standard Time),Invalid Date,4,
